"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0.000320851773722097,0.05,0.4875,0.1125
0.000308830931317061,0.05,0.4825,0.1075
0.000296573125524446,0.05,0.4775,0.1025
0.000284082372672856,0.05,0.4725,0.0974999999999999
0.000271362659987062,0.05,0.4675,0.0925
0.00025841809110716,0.05,0.4625,0.0875
0.000245252798777074,0.05,0.4575,0.0825
0.000231871017604135,0.05,0.4525,0.0775
0.00021827693853993,0.05,0.4475,0.0725
0.000204474868951365,0.05,0.4425,0.0675
0.00019046914530918,0.05,0.4375,0.0625
0.000176264104084112,0.05,0.4325,0.0575
0.00016186416905839,0.05,0.4275,0.0525
0.000147273778566159,0.05,0.4225,0.0474999999999999
0.00013249738549348,0.05,0.4175,0.0424999999999999
0.000117539508210029,0.05,0.4125,0.0375
0.000102404672361445,0.05,0.4075,0.0325
8.70974399731494e-05,0.05,0.4025,0.0275
7.16223803465255e-05,0.05,0.3975,0.0225
5.59840846108273e-05,0.05,0.3925,0.0175
4.01871766371187e-05,0.05,0.3875,0.0125
2.42362784774741e-05,0.05,0.3825,0.00749999999999997
8.13602036942029e-06,0.05,0.3775,0.0025
0.000355453492375091,0.05,0.4975,0.1275
0.000344117433996871,0.05,0.4925,0.1225
0.000332536554196849,0.05,0.4875,0.1175
0.000320714723784477,0.05,0.4825,0.1125
0.000308655842673033,0.05,0.4775,0.1075
0.000296363868983462,0.05,0.4725,0.1025
0.000283842789940536,0.05,0.4675,0.0975
0.000271096738288179,0.05,0.4625,0.0925
0.000258129788562655,0.05,0.4575,0.0875
0.000244946131715551,0.05,0.4525,0.0825
0.000231550002354197,0.05,0.4475,0.0775
0.000217945649637841,0.05,0.4425,0.0725
0.00020413741003722,0.05,0.4375,0.0675
0.000190129634574987,0.05,0.4325,0.0625
0.000175926747033373,0.05,0.4275,0.0575
0.000161533171194606,0.05,0.4225,0.0524999999999999
0.000146953389048576,0.05,0.4175,0.0474999999999999
0.000132191911689006,0.05,0.4125,0.0424999999999999
0.00011725326476153,0.05,0.4075,0.0375
0.000102142032119446,0.05,0.4025,0.0325
8.68628048920073e-05,0.05,0.3975,0.0275
7.14202033123001e-05,0.05,0.3925,0.0225
5.58188548893668e-05,0.05,0.3875,0.0175
4.0063419874059e-05,0.05,0.3825,0.0125
2.41585603362182e-05,0.05,0.3775,0.00749999999999999
8.10895380709553e-06,0.05,0.3725,0.0025
0.000366540945833549,0.05,0.4975,0.1325
0.000355402124114335,0.05,0.4925,0.1275
0.000344018480973318,0.05,0.4875,0.1225
0.000332393799908459,0.05,0.4825,0.1175
0.000320531951729208,0.05,0.4775,0.1125
0.000308436894556507,0.05,0.4725,0.1075
0.000296112586511299,0.05,0.4675,0.1025
0.000283563131233677,0.05,0.4625,0.0975
0.000270792603259906,0.05,0.4575,0.0924999999999999
0.000257805164437741,0.05,0.4525,0.0875
0.000244605034822598,0.05,0.4475,0.0825
0.000231196463573724,0.05,0.4425,0.0775
0.000217583758058026,0.05,0.4375,0.0725
0.000203771283850074,0.05,0.4325,0.0675
0.000189763464732096,0.05,0.4275,0.0625
0.000175564695382491,0.05,0.4225,0.0575
0.00016117948689498,0.05,0.4175,0.0524999999999999
0.000146612350363284,0.05,0.4125,0.0474999999999999
0.00013186781143304,0.05,0.4075,0.0424999999999999
0.000116950475785416,0.05,0.4025,0.0375
0.000101864949101582,0.05,0.3975,0.0325
8.66158588905819e-05,0.05,0.3925,0.0275
7.12078690412454e-05,0.05,0.3875,0.0225
5.56456579943188e-05,0.05,0.3825,0.0175
3.99339223804418e-05,0.05,0.3775,0.0125
